Frequencies	Intensities
 51.05	     0
 76.07	     0
103.02	0.51757
103.23	0.523624
118.12	     0
154.83	7.65762
190.17	2.36539
190.24	2.36085
211.54	     0
276.11	0.00908018
372.29	     0
388.68	0.083235
388.71	0.083235
565.05	     0
593.65	0.00151336
597.75	0.621992
597.81	0.606859
654.74	17.4067
654.82	17.4097
678.63	40.1238
683.96	0.0635612
1243.28	2.25491
1253.23	26.2629
1253.26	26.2977
1286.92	     0
1572.38	0.647719
1572.83	11.1141
1572.95	10.2591
1575.74	40.3917
1585.95	0.0121069
1593.09	6.93574
1593.18	6.88883
1600.86	0.00605345
3341.45	0.67042
3341.92	46.5102
3341.93	46.6176
3348.12	     0
3438.25	0.0681013
3438.81	0.0105935
3438.84	0.139229
3440.24	   100
3442.8	0.00302673
3443.46	14.2226
3443.53	38.273
3443.58	24.5634
